# Relative energy hierarchy for Tyr conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -171265.051739   0.000000
   2  -171265.012286   0.039453
   3  -171264.853447   0.198292
   4  -171264.827187   0.224552
   5  -171264.803056   0.248683
   6  -171264.747543   0.304196
   7  -171264.61196   0.439779
   8  -171264.60238   0.449359
   9  -171264.57654   0.475199
  10  -171264.437532   0.614207
  11  -171264.431022   0.620717
  12  -171264.419067   0.632672
  13  -171264.25158   0.800159
  14  -171264.190978   0.860761
  15  -171264.154082   0.897657
  16  -171264.072253   0.979486
  17  -171264.048015   1.003724
  18  -171264.014548   1.037191
  19  -171264.008368   1.043371
  20  -171263.995883   1.055856
  21  -171263.965735   1.086004
  22  -171263.960106   1.091633
  23  -171263.934843   1.116896
  24  -171263.930416   1.121323
  25  -171263.783845   1.267894
  26  -171263.768623   1.283116
  27  -171263.727759   1.323980
  28  -171263.637795   1.413944
  29  -171263.6053   1.446439
  30  -171263.423936   1.627803
  31  -171263.420423   1.631316
  32  -171263.348433   1.703306
  33  -171263.340079   1.711660
  34  -171263.322759   1.728980
