# Relative energy hierarchy for Tyr conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -570543.703222   0.000000
   2  -570543.700418   0.002804
   3  -570543.699992   0.003230
   4  -570543.692467   0.010755
   5  -570543.605127   0.098095
   6  -570543.570876   0.132346
   7  -570543.560459   0.142763
   8  -570543.509508   0.193714
   9  -570543.506895   0.196327
  10  -570543.499404   0.203818
  11  -570543.494184   0.209038
  12  -570543.486578   0.216644
  13  -570543.459498   0.243724
  14  -570543.451988   0.251234
  15  -570543.371013   0.332209
  16  -570543.341216   0.362006
  17  -570543.258103   0.445119
  18  -570543.217219   0.486003
  19  -570543.210879   0.492343
  20  -570543.210819   0.492403
  21  -570543.17148   0.531742
  22  -570543.168578   0.534644
  23  -570543.05942   0.643802
  24  -570543.057181   0.646041
  25  -570542.878729   0.824493
