# Relative energy hierarchy for Tyr conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -607289.622383   0.000000
   2  -607289.622335   0.000048
   3  -607289.407147   0.215236
   4  -607289.381712   0.240671
   5  -607289.339414   0.282969
   6  -607289.339373   0.283010
   7  -607289.274958   0.347425
   8  -607289.156611   0.465772
   9  -607289.150793   0.471590
  10  -607289.017559   0.604824
  11  -607288.997176   0.625207
  12  -607288.98985   0.632533
  13  -607288.982345   0.640038
  14  -607288.875301   0.747082
  15  -607288.851932   0.770451
  16  -607288.850508   0.771875
  17  -607288.6985   0.923883
  18  -607288.697805   0.924578
  19  -607288.695266   0.927117
  20  -607288.693433   0.928950
  21  -607288.675646   0.946737
  22  -607288.495258   1.127125
  23  -607288.440334   1.182049
  24  -607288.384544   1.237839
  25  -607288.364955   1.257428
  26  -607288.264995   1.357388
  27  -607288.262075   1.360308
  28  -607288.249414   1.372969
  29  -607288.183855   1.438528
  30  -607288.133083   1.489300
  31  -607288.056246   1.566137
  32  -607287.943939   1.678444
  33  -607287.906991   1.715392
  34  -607287.782821   1.839562
  35  -607287.431638   2.190745
  36  -607287.156026   2.466357
  37  -607287.15521   2.467173
