# Relative energy hierarchy for Tyr conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -104336.870661   0.000000
   2  -104336.867427   0.003234
   3  -104336.701488   0.169173
   4  -104336.698432   0.172229
   5  -104336.69079   0.179871
   6  -104336.586183   0.284478
   7  -104336.581829   0.288832
   8  -104336.492184   0.378477
   9  -104336.348405   0.522256
  10  -104336.341215   0.529446
  11  -104336.303605   0.567056
  12  -104336.267457   0.603204
  13  -104336.236983   0.633678
  14  -104336.081549   0.789112
  15  -104336.07997   0.790691
  16  -104336.045511   0.825150
  17  -104335.862005   1.008656
  18  -104335.779913   1.090748
  19  -104335.724544   1.146117
  20  -104335.722604   1.148057
  21  -104335.618917   1.251744
  22  -104335.592933   1.277728
  23  -104335.575515   1.295146
  24  -104335.555581   1.315080
  25  -104335.54791   1.322751
  26  -104335.478357   1.392304
  27  -104335.44218   1.428481
  28  -104335.307945   1.562716
  29  -104335.230287   1.640374
  30  -104334.950611   1.920050
  31  -104334.693399   2.177262
  32  -104334.679871   2.190790
  33  -104334.600268   2.270393
  34  -104334.573025   2.297636
  35  -104334.344365   2.526296
