,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,aa,method,attempt,num,pe
0,0,0,0,1365,ala,ga,16,3,-8808.9763021
1,1,1,1,1051,ala,ga,16,5,-8809.22741965
2,2,2,2,1477,ala,es,34,8,-8809.18726925
3,3,3,3,1668,ala,es,17,7,-8809.02995207
4,4,4,4,1049,ala,ga,0,4,-8809.1831685
5,5,5,5,1478,ala,es,13,2,-8809.02995207
6,6,6,6,540,ala,ga,23,12,-8808.949539700001
7,7,7,7,1046,ala,ga,0,13,-8808.82833474
8,8,8,8,543,ala,ga,11,24,-8809.24896835
9,9,9,9,1045,ala,es,46,0,-8809.02559552
10,10,10,10,545,ala,ga,33,4,-8808.9559888
11,11,11,11,1885,ala,ga,13,5,-8808.94413824
12,12,12,12,1042,ala,ga,22,17,-8809.216148700001
13,13,13,13,1664,ala,ga,33,15,-8809.21224658
14,14,14,14,1663,ala,es,47,5,-8809.18433042
15,15,15,15,552,ala,es,2,0,-8809.14518956
16,16,16,16,1040,ala,ga,40,8,-8808.95935485
17,17,17,17,1482,ala,ga,32,5,-8809.18950603
18,18,18,18,555,ala,ga,29,9,-8809.08789055
19,19,19,19,1661,ala,es,32,0,-8809.17503501
20,20,20,20,1926,ala,ga,21,0,-8809.2176943
21,21,21,21,1054,ala,es,14,5,-8809.19249384
22,22,22,22,1474,ala,es,41,5,-8809.14578549
23,23,23,23,1056,ala,ga,42,7,-8808.93644558
24,24,24,24,505,ala,ga,33,6,-8809.02602274
25,25,25,25,1922,ala,ga,14,4,-8808.93762927
26,26,26,26,1465,ala,ga,1,11,-8809.19269248
27,27,27,27,1466,ala,es,49,4,-8809.185846100001
28,28,28,28,510,ala,es,5,8,-8809.18544609
29,29,29,29,1467,ala,ga,22,19,-8809.14388614
30,30,30,30,1067,ala,es,34,6,-8808.94341169
31,31,31,31,513,ala,es,22,3,-8809.19385169
32,32,32,32,1470,ala,es,11,2,-8809.22262773
33,33,33,33,557,ala,ga,25,7,-8809.18782708
34,34,34,34,518,ala,es,22,2,-8808.97984502
35,35,35,35,1987,ala,es,26,9,-8809.08484832
36,36,36,36,521,ala,es,48,8,-8809.24976292
37,37,37,37,1986,ala,es,6,2,-8809.1443188
38,38,38,38,523,ala,es,47,8,-8809.19919056
39,39,39,39,524,ala,ga,19,1,-8809.19328297
40,40,40,40,1923,ala,es,15,4,-8809.21030641
