,Energy,Torsion 0,Torsion 1,Torsion 2,Torsion 3,Torsion 4,Torsion 5,Torsion 6,Torsion 7
76,36.32577779880444,120.0,120.0,300.0,180.0,270.0,270.0,180.0,270.0
19,36.33497262071328,120.0,120.0,90.0,60.0,270.0,270.0,180.0,270.0
67,36.336307407239964,90.0,120.0,270.0,180.0,270.0,210.0,210.0,270.0
179,36.33809955725667,120.0,120.0,30.0,60.0,270.0,270.0,180.0,270.0
119,36.33817492935813,90.0,120.0,240.0,180.0,270.0,210.0,210.0,270.0
38,36.339207339618206,90.0,120.0,90.0,210.0,270.0,210.0,210.0,270.0
51,36.33985720076778,60.0,120.0,30.0,180.0,270.0,270.0,180.0,270.0
116,36.33985720621374,60.0,120.0,30.0,180.0,270.0,270.0,180.0,270.0
101,36.34388841258918,90.0,120.0,90.0,180.0,270.0,210.0,180.0,270.0
125,36.349158431275214,90.0,120.0,90.0,210.0,270.0,210.0,180.0,270.0
94,36.35094774284775,90.0,120.0,180.0,180.0,270.0,210.0,180.0,270.0
96,36.3509477458722,90.0,120.0,180.0,180.0,270.0,210.0,180.0,270.0
86,36.350947745872446,90.0,120.0,180.0,180.0,270.0,210.0,180.0,270.0
199,36.351103669928015,120.0,120.0,120.0,180.0,270.0,210.0,180.0,270.0
16,36.35144678967306,120.0,120.0,270.0,180.0,270.0,210.0,180.0,270.0
153,36.35236622913032,60.0,120.0,270.0,240.0,270.0,270.0,180.0,270.0
54,36.35570692471312,120.0,120.0,180.0,180.0,270.0,240.0,210.0,270.0
156,36.35619045863025,120.0,120.0,90.0,210.0,270.0,210.0,180.0,270.0
85,36.357980450310215,120.0,120.0,180.0,180.0,270.0,210.0,180.0,270.0
29,36.358651648520116,0.0,120.0,300.0,180.0,270.0,270.0,180.0,270.0
78,36.36110172270044,120.0,120.0,180.0,60.0,270.0,210.0,210.0,270.0
164,36.36156538455208,90.0,120.0,270.0,240.0,270.0,210.0,180.0,270.0
18,36.3626278071232,90.0,120.0,330.0,60.0,270.0,210.0,180.0,270.0
4,36.36330573881064,90.0,120.0,180.0,60.0,270.0,210.0,180.0,270.0
83,36.36347107866162,120.0,120.0,270.0,60.0,270.0,210.0,180.0,270.0
182,36.364412061134175,0.0,120.0,30.0,210.0,270.0,270.0,180.0,270.0
144,36.3649641735717,60.0,120.0,270.0,180.0,270.0,210.0,180.0,270.0
146,36.36496417357173,60.0,120.0,270.0,180.0,270.0,210.0,180.0,270.0
128,36.36547037958471,90.0,120.0,150.0,270.0,270.0,210.0,180.0,270.0
48,36.36689339643577,60.0,120.0,300.0,60.0,270.0,210.0,210.0,270.0
13,36.366942951885555,120.0,120.0,300.0,180.0,270.0,240.0,180.0,270.0
104,36.36832750781185,90.0,120.0,300.0,270.0,270.0,210.0,180.0,270.0
52,36.368597822062384,120.0,120.0,270.0,240.0,270.0,210.0,180.0,270.0
79,36.36959827584833,60.0,120.0,270.0,210.0,270.0,210.0,180.0,270.0
43,36.369660453128375,120.0,120.0,330.0,60.0,270.0,210.0,180.0,270.0
35,36.369960983312886,120.0,120.0,180.0,180.0,270.0,240.0,180.0,270.0
27,36.36996099041426,120.0,120.0,180.0,180.0,270.0,240.0,180.0,270.0
155,36.373152678271865,0.0,120.0,90.0,240.0,270.0,270.0,180.0,270.0
50,36.37365297314974,30.0,120.0,210.0,240.0,270.0,270.0,180.0,270.0
152,36.37387331290889,60.0,120.0,270.0,240.0,270.0,210.0,210.0,270.0
53,36.37669160703017,60.0,120.0,120.0,60.0,270.0,210.0,180.0,270.0
185,36.378232122722224,30.0,120.0,180.0,270.0,270.0,270.0,180.0,270.0
47,36.37829273878892,0.0,120.0,30.0,180.0,270.0,240.0,210.0,270.0
99,36.37863162925899,30.0,120.0,270.0,180.0,270.0,210.0,180.0,270.0
95,36.37863162939421,30.0,120.0,270.0,180.0,270.0,210.0,180.0,270.0
142,36.38168695279347,0.0,120.0,180.0,240.0,270.0,270.0,180.0,270.0
